iter	Passed	Remaining
0	1	142
1	2	128
2	3	123
3	5	123
4	6	122
5	7	119
6	8	116
7	9	113
8	11	111
9	12	109
10	13	108
11	14	106
12	15	104
13	16	103
14	18	102
15	19	101
16	20	100
17	21	99
18	23	98
19	24	96
20	25	96
21	26	94
22	28	93
23	29	92
24	30	91
25	31	90
26	33	89
27	34	88
28	35	87
29	36	85
30	37	84
31	39	83
32	40	81
33	41	80
34	42	79
35	43	78
36	45	77
37	46	75
38	47	74
39	48	73
40	49	71
41	50	69
42	51	68
43	52	67
44	53	65
45	55	64
46	56	63
47	57	61
48	58	60
49	59	59
50	60	58
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	68	49
58	69	48
59	70	46
60	71	45
61	72	44
62	73	43
63	74	42
64	75	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	87	29
75	88	27
76	89	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	104	11
90	105	10
91	106	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	114	2
98	115	1
99	116	0
